/p,1,0.003,0.005,0.01,0.025,0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.975,0.99,0.995,0.998,0.999
33,63.869,60.395,57.648,54.775,50.725,47.4,43.745,41.386,39.572,38.058,36.731,35.529,34.413,33.355,32.336,31.338,30.344,29.341,28.307,27.219,26.042,24.714,23.11,20.867,19.047,17.074,15.815,14.709,13.431
34,65.247,61.738,58.964,56.061,51.966,48.602,44.903,42.514,40.676,39.141,37.795,36.576,35.444,34.371,33.336,32.322,31.313,30.293,29.242,28.136,26.938,25.586,23.952,21.664,19.806,17.789,16.501,15.368,14.057
35,66.619,63.076,60.275,57.342,53.203,49.802,46.059,43.64,41.778,40.223,38.859,37.623,36.475,35.386,34.336,33.307,32.282,31.246,30.178,29.054,27.836,26.46,24.797,22.465,20.569,18.509,17.192,16.032,14.688
36,67.985,64.41,61.581,58.619,54.437,50.999,47.212,44.764,42.879,41.304,39.922,38.669,37.505,36.401,35.336,34.291,33.252,32.2,31.115,29.973,28.735,27.336,25.643,23.269,21.336,19.233,17.887,16.7,15.324
37,69.348,65.738,62.883,59.893,55.668,52.192,48.363,45.886,43.978,42.383,40.984,39.715,38.535,37.416,36.336,35.276,34.222,33.154,32.053,30.893,29.636,28.214,26.492,24.075,22.106,19.96,18.586,17.373,15.965
38,70.704,67.063,64.181,61.162,56.896,53.384,49.513,47.007,45.076,43.462,42.045,40.76,39.564,38.43,37.335,36.262,35.192,34.109,32.992,31.815,30.537,29.093,27.343,24.884,22.879,20.691,19.289,18.05,16.611
39,72.055,68.383,65.475,62.428,58.12,54.572,50.66,48.126,46.173,44.54,43.105,41.804,40.594,39.445,38.335,37.247,36.163,35.065,33.932,32.737,31.441,29.974,28.196,25.695,23.654,21.426,19.996,18.732,17.261
40,73.403,69.699,66.766,63.691,59.342,55.759,51.805,49.244,47.269,45.616,44.165,42.848,41.622,40.459,39.335,38.233,37.134,36.021,34.872,33.66,32.345,30.856,29.051,26.509,24.433,22.164,20.707,19.417,17.917
45,80.078,76.223,73.166,69.957,65.41,61.656,57.505,54.811,52.729,50.985,49.452,48.058,46.761,45.527,44.335,43.164,41.995,40.81,39.585,38.291,36.884,35.29,33.35,30.612,28.366,25.901,24.311,22.899,21.251
50,86.66,82.664,79.49,76.154,71.42,67.505,63.167,60.346,58.164,56.334,54.723,53.258,51.892,50.592,49.335,48.099,46.864,45.61,44.313,42.942,41.449,39.754,37.689,34.764,32.357,29.707,27.991,26.464,24.674
55,93.167,89.034,85.749,82.292,77.38,73.312,68.796,65.855,63.577,61.665,59.98,58.447,57.016,55.654,54.335,53.037,51.739,50.42,49.055,47.611,46.036,44.245,42.06,38.958,36.398,33.571,31.735,30.097,28.173
60,99.608,95.344,91.952,88.379,83.298,79.082,74.397,71.341,68.972,66.982,65.227,63.628,62.135,60.713,59.335,57.978,56.62,55.239,53.809,52.294,50.641,48.759,46.459,43.188,40.482,37.485,35.534,33.791,31.738
70,112.317,107.808,104.215,100.425,95.023,90.531,85.527,82.255,79.715,77.577,75.689,73.968,72.358,70.824,69.335,67.866,66.396,64.899,63.346,61.698,59.898,57.844,55.329,51.739,48.758,45.442,43.275,41.332,39.036
80,124.839,120.102,116.321,112.329,106.629,101.88,96.578,93.106,90.405,88.13,86.12,84.284,82.566,80.927,79.334,77.763,76.188,74.583,72.915,71.145,69.207,66.994,64.278,60.392,57.153,53.54,51.172,49.043,46.52
90,137.208,132.255,128.299,124.116,118.136,113.145,107.565,103.904,101.054,98.65,96.524,94.581,92.761,91.023,89.334,87.666,85.993,84.285,82.511,80.625,78.558,76.195,73.291,69.126,65.647,61.754,59.196,56.892,54.156
100,149.449,144.293,140.17,135.807,129.561,124.342,118.498,114.659,111.667,109.141,106.906,104.862,102.946,101.115,99.334,97.574,95.808,94.005,92.129,90.133,87.945,85.441,82.358,77.929,74.222,70.065,67.328,64.857,61.918
120,173.618,168.081,163.649,158.95,152.211,146.567,140.233,136.062,132.806,130.055,127.616,125.383,123.289,121.285,119.334,117.404,115.465,113.483,111.419,109.22,106.806,104.037,100.624,95.705,91.573,86.923,83.852,81.073,77.756
140,197.45,191.565,186.847,181.841,174.648,168.613,161.827,157.352,153.854,150.894,148.269,145.863,143.604,141.441,139.334,137.248,135.149,133.003,130.766,128.38,125.758,122.748,119.029,113.659,109.137,104.034,100.655,97.591,93.925
160,221.02,214.808,209.824,204.53,196.915,190.516,183.311,178.552,174.828,171.675,168.876,166.309,163.898,161.587,159.334,157.102,154.856,152.556,150.158,147.599,144.783,141.548,137.546,131.756,126.87,121.346,117.679,114.35,110.359
180,244.372,237.855,232.62,227.056,219.044,212.304,204.704,199.679,195.743,192.409,189.446,186.728,184.173,181.723,179.334,176.965,174.58,172.137,169.588,166.865,163.868,160.421,156.153,149.969,144.741,138.821,134.884,131.305,127.011
200,267.539,260.735,255.264,249.445,241.058,233.994,226.021,220.744,216.609,213.102,209.985,207.124,204.434,201.853,199.334,196.836,194.319,191.741,189.049,186.172,183.003,179.355,174.835,168.279,162.728,156.432,152.241,148.426,143.842
250,324.831,317.361,311.346,304.939,295.689,287.882,279.05,273.194,268.599,264.697,261.225,258.036,255.033,252.15,249.334,246.539,243.72,240.83,237.809,234.577,231.013,226.905,221.806,214.392,208.098,200.939,196.16,191.802,186.554
300,381.424,373.351,366.844,359.906,349.875,341.395,331.789,325.409,320.397,316.138,312.346,308.859,305.574,302.418,299.334,296.27,293.179,290.006,286.688,283.135,279.214,274.69,269.068,260.878,253.912,245.973,240.663,235.813,229.962
500,603.446,593.358,585.206,576.493,563.851,553.127,540.93,532.803,526.401,520.951,516.087,511.608,507.382,503.315,499.334,495.373,491.371,487.257,482.946,478.323,473.21,467.296,459.926,449.147,439.936,429.387,422.303,415.808,407.946
600,712.773,701.832,692.981,683.516,669.769,658.094,644.8,635.933,628.816,622.988,617.671,612.772,608.147,603.694,599.334,594.994,590.606,586.093,581.362,576.286,570.668,564.166,556.056,544.18,534.019,522.365,514.529,507.339,498.622
